1	安徽	0	5
2	安庆	1	2
3	安庆市	2	1
4	怀宁县	2	2
5	潜山县	2	3
6	宿松县	2	4
7	太湖县	2	5
8	桐城市	2	6
9	望江县	2	7
10	岳西县	2	8
11	枞阳县	2	9
12	蚌埠	1	3
13	蚌埠市	12	1
14	固镇县	12	2
15	怀远县	12	3
16	五河县	12	4
17	巢湖	1	4
18	巢湖市	17	1
19	含山县	17	2
20	和县	17	3
21	庐江县	17	4
22	无为县	17	5
23	池州	1	5
24	池州市	23	1
25	东至县	23	2
26	青阳县	23	3
27	石台县	23	4
28	滁州	1	6
29	滁州市	28	1
30	定远县	28	2
31	凤阳县	28	3
32	来安县	28	4
33	明光市	28	5
34	全椒县	28	6
35	天长市	28	7
36	阜阳	1	7
37	阜南县	36	1
38	阜阳市	36	2
39	界首市	36	3
40	临泉县	36	4
41	太和县	36	5
42	颖上县	36	6
43	合肥	1	1
44	长丰县	43	1
45	肥东县	43	2
46	肥西县	43	3
47	包河区	43	4
48	淮北	1	8
49	淮北市	48	1
50	濉溪县	48	2
51	淮南	1	9
52	凤台县	51	1
53	淮南市	51	2
54	黄山	1	10
55	黄山市	54	1
56	祁门县	54	2
57	休宁县	54	3
58	歙县	54	4
59	黟县	54	5
60	六安	1	11
61	霍邱县	60	1
62	霍山县	60	2
63	金寨县	60	3
64	六安市	60	4
65	寿县	60	5
66	舒城县	60	6
67	马鞍山	1	12
68	当涂县	67	1
69	马鞍山市	67	2
70	宿州	1	13
71	灵璧县	70	1
72	宿州市	70	2
73	萧县	70	3
74	泗县	70	4
75	砀山县	70	5
76	铜陵	1	14
77	铜陵市	76	1
78	铜陵县	76	2
79	芜湖	1	15
80	繁昌县	79	1
81	南陵县	79	2
82	芜湖市	79	3
83	芜湖县	79	4
84	宣城	1	16
85	广德县	84	1
86	绩溪县	84	2
87	郎溪县	84	3
88	宁国市	84	4
89	宣城市	84	5
90	泾县	84	6
91	旌德县	84	7
92	亳州	1	17
93	利辛县	92	1
94	蒙城县	92	2
95	涡阳县	92	3
96	亳州市	92	4
97	北京	0	1
98	北京	97	1
99	东城区	98	1
100	密云县	98	15
101	延庆县	98	16
102	福建	0	10
103	福州	102	1
104	长乐市	103	7
105	福清市	103	8
106	鼓楼区	103	1
107	连江县	103	9
108	罗源县	103	10
109	闽侯县	103	11
110	闽清县	103	12
111	平潭县	103	13
112	永泰县	103	14
113	龙岩	102	2
114	长汀县	113	1
115	连城县	113	2
116	龙岩市	113	3
117	上杭县	113	4
118	武平县	113	5
119	永定县	113	6
120	漳平市	113	7
121	南平	102	3
122	光泽县	121	1
123	建阳市	121	2
124	建瓯市	121	3
125	南平市	121	4
126	浦城县	121	5
127	邵武市	121	6
128	顺昌县	121	7
129	松溪县	121	8
130	武夷山市	121	9
131	政和县	121	10
132	宁德	102	4
133	福安市	132	1
134	福鼎市	132	2
135	古田县	132	3
136	宁德市	132	4
137	屏南县	132	5
138	寿宁县	132	6
139	霞浦县	132	7
140	周宁县	132	8
141	柘荣县	132	9
142	莆田	102	5
143	莆田市	142	1
144	仙游县	142	2
145	泉州	102	6
146	安溪县	145	1
147	德化县	145	2
148	惠安县	145	3
149	金门县	145	4
150	晋江市	145	5
151	南安市	145	6
152	泉州市	145	7
153	石狮市	145	8
154	永春县	145	9
155	三明	102	7
156	大田县	155	1
157	建宁县	155	2
158	将乐县	155	3
159	明溪县	155	4
160	宁化县	155	5
161	清流县	155	6
162	三明市	155	7
163	沙县	155	8
164	泰宁县	155	9
165	永安市	155	10
166	尤溪县	155	11
167	厦门	102	8
168	厦门市	167	1
169	漳州	102	9
170	长泰县	169	1
171	东山县	169	2
172	华安县	169	3
173	龙海市	169	4
174	南靖县	169	5
175	平和县	169	6
176	云霄县	169	7
177	漳浦县	169	8
178	漳州市	169	9
179	诏安县	169	10
180	甘肃	0	6
181	白银	180	2
182	白银市	181	1
183	会宁县	181	2
184	景泰县	181	3
185	靖远县	181	4
186	定西	180	3
